pincode,District,State,Population_Density,Fire_Brigade_Vehicles,Ambulances,Police_Personnel,Paramedics,Doctors,Special_Requirement
400001,Mumbai City,Maharashtra,32400,8,18,450,35,650,High density financial district
400002,Mumbai City,Maharashtra,55000,6,15,380,30,750,Dense wholesale market area
400003,Mumbai City,Maharashtra,68000,5,14,350,28,700,Extremely dense market area Pydhonie
400004,Mumbai City,Maharashtra,48000,5,14,320,28,600,High density residential
400005,Mumbai City,Maharashtra,35000,7,16,350,32,620,Coastal area with high rises
400006,Mumbai City,Maharashtra,29000,4,10,250,20,400,Affluent residential Malabar Hill
400007,Mumbai City,Maharashtra,41000,6,15,330,30,580,Grant Road dense commercial
400008,Mumbai City,Maharashtra,52000,6,15,330,30,600,Major railway line intersection
400009,Mumbai City,Maharashtra,75000,7,18,400,36,800,Extremely dense market area
400010,Mumbai City,Maharashtra,33000,5,12,280,24,450,Mazgaon dock area
400011,Mumbai City,Maharashtra,95000,4,12,400,25,750,Extremely high density informal settlement
400012,Mumbai City,Maharashtra,47000,6,16,340,32,600,Proximity to major railway workshop
400013,Mumbai City,Maharashtra,65000,7,20,420,40,800,Major transport and commercial hub
400014,Mumbai City,Maharashtra,68000,6,18,390,36,750,High density residential old textile mills
400015,Mumbai City,Maharashtra,36000,5,14,310,28,550,Sewri industrial area
400016,Mumbai City,Maharashtra,41000,6,18,360,36,650,Major transport hub Dadar
400017,Mumbai City,Maharashtra,80000,5,15,380,30,700,Part of Dharavi high density
400018,Mumbai City,Maharashtra,25000,7,15,400,30,500,Worli commercial and residential
400019,Mumbai City,Maharashtra,61000,6,16,370,32,680,Dense residential Matunga
400020,Mumbai City,Maharashtra,31000,5,13,300,26,500,Marine Lines business district
400021,Mumbai City,Maharashtra,28000,6,14,320,28,550,Nariman Point high security business district
400022,Mumbai Suburban,Maharashtra,58000,6,17,380,34,700,Dense residential Sion Koliwada
400023,Mumbai City,Maharashtra,20000,4,8,200,16,300,Hutatma Chowk business area
400024,Mumbai Suburban,Maharashtra,42000,5,14,320,28,550,Nehru Nagar residential area
400025,Mumbai City,Maharashtra,38000,7,17,370,34,650,Prabhadevi commercial and residential
400026,Mumbai City,Maharashtra,37500,8,20,450,40,750,Affluent coastal residential area Cumballa Hill
400027,Mumbai City,Maharashtra,15000,4,10,220,20,350,Veer Jeejamata Udyan zoo and garden
400028,Mumbai City,Maharashtra,66000,6,18,390,36,720,High density residential Dadar
400029,Mumbai Suburban,Maharashtra,40000,7,18,400,36,680,Santacruz airport residential colony
400030,Mumbai City,Maharashtra,22000,5,12,280,24,450,Century Mill area
400031,Mumbai City,Maharashtra,59000,6,16,360,32,650,Wadala dense residential area
400032,Mumbai City,Maharashtra,18000,6,15,350,30,500,Mantralaya government offices
400033,Mumbai City,Maharashtra,51000,5,14,330,28,600,Dense market area Mandvi
400034,Mumbai City,Maharashtra,34000,7,18,380,36,680,Haji Ali high end retail and residential
400035,Mumbai City,Maharashtra,10000,5,12,300,24,400,Raj Bhavan high security area
400036,Mumbai City,Maharashtra,26000,5,13,290,26,480,AK Marg commercial area
400037,Mumbai City,Maharashtra,34000,5,14,310,28,520,Antop Hill industrial area
400038,Mumbai City,Maharashtra,21000,6,14,330,28,500,Ballard Estate business district
400039,Mumbai City,Maharashtra,12000,4,8,200,16,300,Council Hall area
400042,Mumbai Suburban,Maharashtra,48000,6,16,350,32,620,Bhandup East residential area
400043,Mumbai Suburban,Maharashtra,45000,6,15,340,30,600,Shivaji Nagar Kurla dense area
400049,Mumbai Suburban,Maharashtra,31000,6,15,330,30,580,Beachfront tourist area Juhu
400050,Mumbai Suburban,Maharashtra,45000,8,22,480,44,850,Coastal area high density commercial residential Bandra West
